term,estimate,std.error,statistic,p.value,conf.low,conf.high,y,x
(Intercept),51.829901204945486,37.67512761091721,1.3757060557354719,0.20619652311858505,-35.04909886017424,138.7089012700652,A,Wood density
wood_density,-27.701686265675104,71.50814994732514,-0.38739201456170974,0.7085687599346793,-192.5997757450064,137.1964032136562,A,Wood density
(Intercept),0.2329859597317337,1.3966473767501217,0.16681802694812772,0.871652604727496,-2.9876886664760973,3.453660585939565,delay,Wood density
wood_density,-2.2360461325450824,2.65086481117176,-0.8435157172563186,0.4234426221421963,-8.34895134897437,3.876859083884206,delay,Wood density
(Intercept),-405.7267756099702,194.9994045647504,-2.0806564846470947,0.0710426468025272,-855.3962088986348,43.942657678694275,k,Wood density
wood_density,107.32818996418,370.1127917935623,0.28998778843624623,0.7791999157122869,-746.1534384037329,960.8098183320928,k,Wood density
(Intercept),0.00944626231476535,0.5134219404705156,0.01839863389185999,0.9857714356633975,-1.1745068555147906,1.1933993801443212,survival,Wood density
wood_density,-1.288324297989093,0.9744851692227211,-1.3220563418288853,0.2226981464126134,-3.5354911279118193,0.9588425319336331,survival,Wood density
(Intercept),113.93775620895056,41.6462075675918,2.7358495013988864,0.02561306279666079,17.901429342512856,209.97408307538825,A,SLA
sla,-7.970563905737506,4.312501494841022,-1.8482460621225447,0.10175014184215023,-17.915210185915047,1.9740823744400364,A,SLA
(Intercept),-3.3333425188728993,1.705523934166183,-1.9544390155407252,0.08639750963061112,-7.266287763749794,0.599602726003996,delay,SLA
sla,0.24968483349699716,0.1766085063962071,1.4137758061146226,0.19513959655108085,-0.15757511256488776,0.6569447795588821,delay,SLA
(Intercept),-728.2859985840378,218.3143500739862,-3.33595111057621,0.010292916027415173,-1231.7197926290598,-224.85220453901576,k,SLA
sla,39.40921969138016,22.606643342284837,1.743258346437782,0.11945126759233311,-12.721793339014397,91.54023272177471,k,SLA
(Intercept),-0.7536199159715841,0.7407526290427431,-1.0173705585702328,0.338754751326578,-2.4617985417075072,0.954558709764339,survival,SLA
sla,0.009402850161216392,0.07670558753446104,0.12258364042895874,0.9054603442717359,-0.16748055188651587,0.18628625220894865,survival,SLA
